timestamp,tollID,tagRef,tagHomeID,charge
2022-01-17 21:38,KO08,KOJDP0LVS,KO,1.85
2022-01-17 21:59,NAO41,NAOP0J43D5,NAO,2.5
2022-01-17 21:59,AM05,AMV3A3ZMF,AM,3.6
2022-01-17 22:15,NAO22,NAOVZ41NAM,NAO,2.5
2022-01-17 22:44,NAO08,AMNT3W5UZ,AM,2.5
2022-01-17 23:07,NAO39,NAOURTP0LZ,NAO,2.5
2022-01-18 00:31,NAO40,EGRHOCN9J,EG,2.5
2022-01-18 00:54,OO08,OO3KKV9RF,OO,1.9
2022-01-18 01:05,MO09,MOJCKJLTE,MO,2.7
2022-01-18 01:52,AM07,NAOP0J43D5,NAO,2.8
2022-01-18 03:41,KO10,KONCXLL4Z,KO,2.05
2022-01-18 03:45,EG21,AMH9SDBDW,AM,1.6
2022-01-18 04:14,NAO23,NAONSM43D8,NAO,2.5
2022-01-18 04:47,MO10,EG7UR23GD,EG,2.7
2022-01-18 04:48,EG28,EGF1T2TAL,EG,1.4
2022-01-18 04:48,EG26,NOE1V2ISQ,NO,1.8
2022-01-18 04:58,KO07,KOWKTAKPU,KO,1.85
2022-01-18 05:20,MO05,MOJCKJLTE,MO,2.6
2022-01-18 05:21,MO06,MOJCKJLTE,MO,2.6
2022-01-18 05:26,NAO22,NAOVZ41NAM,NAO,2.5
2022-01-18 05:43,OO10,OO7PZE9VI,OO,2.5
2022-01-18 06:10,AM02,AMXAJI0Y6,AM,2.0
2022-01-18 06:54,EG31,EGC11ERTJ,EG,1.4
2022-01-18 07:01,NO03,AMXAJI0Y6,AM,3.25
2022-01-18 07:05,OO06,NAOHL1N13J,NAO,3.5
2022-01-18 07:09,OO02,OO1B0Z3NX,OO,2.3
2022-01-18 07:18,NO05,EGYTJXEPQ,EG,3.25
2022-01-18 07:38,KO09,KONCXLL4Z,KO,2.05
2022-01-18 07:51,AM09,NAO09SKDGI,NAO,3.1
2022-01-18 07:55,EG10,EGYTJXEPQ,EG,0.9
2022-01-18 08:03,OO04,NOXFGCAQV,NO,2.4
2022-01-18 08:07,AM08,AMXAJI0Y6,AM,2.8
2022-01-18 08:09,GE02,KOWKTAKPU,KO,14.7
2022-01-18 08:26,KO02,EG9CHJ755,EG,3.4
2022-01-18 09:04,EG18,EGIGQPKI7,EG,2.1
2022-01-18 09:07,EG31,NAOURTP0LZ,NAO,1.4
2022-01-18 09:22,AM09,NAO09SKDGI,NAO,3.1
2022-01-18 10:07,GE02,GE2IAGL58,GE,14.7
2022-01-18 10:25,NAO38,NOE1V2ISQ,NO,2.5
2022-01-18 10:34,NO12,NOX6GVWRD,NO,3.35
2022-01-18 10:55,NO05,EGVWPVS7H,EG,3.25
2022-01-18 11:37,NAO04,OOQ0OXFQ8,OO,2.5
2022-01-18 11:46,OO03,EGUT0CVS4,EG,2.4
2022-01-18 12:09,NAO38,NAO5ZJA8DZ,NAO,2.5
2022-01-18 14:02,NAO28,NAOHAFEYUH,NAO,2.5
2022-01-18 14:04,MO08,NAOLY8OZCY,NAO,3.15
2022-01-18 14:24,MO07,KOIXA11DP,KO,3.15
2022-01-18 15:21,NAO21,NAOHL1N13J,NAO,2.5
2022-01-18 15:45,MO09,MOV86WZS3,MO,2.7
2022-01-18 16:00,EG21,EGYTJXEPQ,EG,1.6
2022-01-18 16:09,NAO31,NAO09SKDGI,NAO,2.5
2022-01-18 16:10,GE02,EGVWPVS7H,EG,14.7
2022-01-18 16:40,KO03,NAOBMYOFQE,NAO,2.95
2022-01-18 16:59,KO09,KOWM31YIH,KO,2.05
2022-01-18 17:05,NO09,NORCBPLJD,NO,4.2
2022-01-18 17:17,NO05,EGYTJXEPQ,EG,3.25
2022-01-18 17:58,EG22,NAOBMYOFQE,NAO,1.6
2022-01-18 17:59,NO11,NOE1V2ISQ,NO,3.35
2022-01-18 18:07,NAO11,NAO5UQPGB7,NAO,2.5
2022-01-18 19:33,MO05,MOJCKJLTE,MO,2.6
2022-01-18 19:34,NO05,EGVWPVS7H,EG,3.25
2022-01-18 19:34,NAO39,AMXAJI0Y6,AM,2.5
2022-01-18 19:59,OO03,OO3KKV9RF,OO,2.4
2022-01-18 20:06,EG21,EG7UR23GD,EG,1.6
2022-01-18 20:08,GE02,EGVWPVS7H,EG,14.7
2022-01-18 20:30,EG05,EGIGQPKI7,EG,1.7
2022-01-18 21:05,NAO05,KONCXLL4Z,KO,2.5
2022-01-18 21:16,NAO07,AMV3A3ZMF,AM,2.5
2022-01-18 22:41,AM10,AMHJ7XVG0,AM,3.1
2022-01-18 23:12,EG25,MOV86WZS3,MO,1.8
2022-01-18 23:52,EG20,EGSEIMVIH,EG,1.4
2022-01-18 23:54,MO09,MOV86WZS3,MO,2.7
2022-01-18 23:59,KO06,KONCXLL4Z,KO,1.9
2022-01-19 00:57,OO06,NAOHL1N13J,NAO,3.5
2022-01-19 01:20,OO03,NAOVZ41NAM,NAO,2.4
2022-01-19 01:22,EG25,EGVWPVS7H,EG,1.8
2022-01-19 01:43,EG19,NAOBMYOFQE,NAO,1.4
2022-01-19 02:14,EG31,NAOURTP0LZ,NAO,1.4
2022-01-19 02:58,OO07,EGC11ERTJ,EG,1.9
2022-01-19 03:05,NO11,NOXFGCAQV,NO,3.35
2022-01-19 03:18,NO12,NOQLL8OS9,NO,3.35
2022-01-19 04:00,KO05,KOWM31YIH,KO,1.9
2022-01-19 04:12,NO05,NOX6GVWRD,NO,3.25
2022-01-19 04:25,OO04,NOXFGCAQV,NO,2.4
2022-01-19 04:32,NAO17,OO1B0Z3NX,OO,2.5
2022-01-19 04:44,KO03,AMNT3W5UZ,AM,2.95
2022-01-19 04:48,AM04,AMLJH75LX,AM,2.2
2022-01-19 04:49,AM01,NAOLY8OZCY,NAO,2.0
2022-01-19 05:03,EG10,NORCBPLJD,NO,0.9
2022-01-19 05:10,OO02,OOZSJ49IT,OO,2.3
2022-01-19 05:13,OO04,OOQ0OXFQ8,OO,2.4
2022-01-19 05:40,EG32,EGF1T2TAL,EG,1.4
2022-01-19 06:02,OO10,NAO09SKDGI,NAO,2.5
2022-01-19 06:05,EG06,EG9CHJ755,EG,1.7
2022-01-19 06:10,KO01,KOWKTAKPU,KO,3.4
2022-01-19 06:14,EG17,EG7UR23GD,EG,2.1
2022-01-19 07:25,NAO27,EG9CHJ755,EG,2.5
2022-01-19 07:31,GE02,EGVWPVS7H,EG,14.7
2022-01-19 08:15,EG34,NAOBMYOFQE,NAO,2.0
2022-01-19 08:19,AM04,AMLJH75LX,AM,2.2
2022-01-19 08:30,KO06,EGC11ERTJ,EG,1.9
2022-01-19 08:41,NO12,NOQLL8OS9,NO,3.35
2022-01-19 08:59,NAO23,NAONSM43D8,NAO,2.5
2022-01-19 09:25,AM06,AMNT3W5UZ,AM,3.6
2022-01-19 09:38,NAO23,NAO09SKDGI,NAO,2.5
2022-01-19 10:05,NAO26,NAO09SKDGI,NAO,2.5
2022-01-19 10:09,NAO32,NAO5UQPGB7,NAO,2.5
2022-01-19 10:21,AM05,AMHJ7XVG0,AM,3.6
2022-01-19 11:27,NO14,NORCBPLJD,NO,4.15
2022-01-19 11:45,KO02,EG9CHJ755,EG,3.4
2022-01-19 12:29,GE01,GEX7EEDTJ,GE,14.7
2022-01-19 13:03,EG07,EG7UR23GD,EG,1.8
2022-01-19 13:29,NAO18,KONCXLL4Z,KO,2.5
2022-01-19 13:54,NO10,KOIXA11DP,KO,4.2
2022-01-19 14:35,OO10,OOQ0OXFQ8,OO,2.5
2022-01-19 14:40,NO01,NOE1V2ISQ,NO,3.85
2022-01-19 14:44,NO05,KONCXLL4Z,KO,3.25
2022-01-19 15:06,EG21,EGF1T2TAL,EG,1.6
2022-01-19 15:28,NAO21,NAO5ZJA8DZ,NAO,2.5
2022-01-19 15:41,EG29,EGUT0CVS4,EG,1.5
2022-01-19 15:55,KO01,KOJDP0LVS,KO,3.4
2022-01-19 16:17,AM04,KOWKTAKPU,KO,2.2
2022-01-19 17:51,EG17,KOWM31YIH,KO,2.1
2022-01-19 18:20,EG05,EGIGQPKI7,EG,1.7
2022-01-19 18:54,AM10,AMXAJI0Y6,AM,3.1
2022-01-19 19:23,NAO14,NAONSM43D8,NAO,2.5
2022-01-19 20:22,EG11,EGC11ERTJ,EG,0.5
